cost_id,warehouse_id,month,labor_cost,storage_overhead_cost,transportation_cost,penalty_cost,total_cost
CST-9001,WH-DXB-01,2025-10,170951.25999999995,320000.0,117068.0,0.0,608019.26
CST-9002,WH-AUH-01,2025-10,77263.16,190000.0,117086.5,0.0,384349.66
CST-9003,WH-SHJ-01,2025-10,57999.86,115000.0,117086.5,0.0,290086.36
CST-9004,WH-DWC-01,2025-10,116670.51999999999,240000.0,117068.0,0.0,473738.52
CST-9005,WH-DXB-01,2025-11,246234.21,320000.0,157361.0,42595.0,766190.21
CST-9006,WH-AUH-01,2025-11,107728.71999999999,190000.0,157361.0,0.0,455089.72
CST-9007,WH-SHJ-01,2025-11,80720.05,115000.0,157361.0,0.0,353081.05
CST-9008,WH-DWC-01,2025-11,167795.73000000004,240000.0,157361.0,0.0,565156.73
CST-9009,WH-DXB-01,2025-12,173648.24,320000.0,121045.5,0.0,614693.74
CST-9010,WH-AUH-01,2025-12,77284.87999999999,190000.0,121045.5,0.0,388330.38
CST-9011,WH-SHJ-01,2025-12,57952.76,115000.0,121045.5,0.0,293998.26
CST-9012,WH-DWC-01,2025-12,117069.21999999999,240000.0,121045.5,0.0,478114.72
CST-9013,WH-DXB-01,2026-01,166887.63999999998,320000.0,115828.5,0.0,602716.14
CST-9014,WH-AUH-01,2026-01,75291.13999999998,190000.0,115810.0,0.0,381101.14
CST-9015,WH-SHJ-01,2026-01,50763.89,115000.0,115810.0,29575.0,311148.89
CST-9016,WH-DWC-01,2026-01,111918.16,240000.0,115828.5,0.0,467746.66
CST-9017,WH-DXB-01,2026-02,153359.13999999998,320000.0,109168.5,3010.0,585537.64
CST-9018,WH-AUH-01,2026-02,69251.87999999999,190000.0,109187.0,3185.0,371623.88
CST-9019,WH-SHJ-01,2026-02,51899.06,115000.0,109168.5,3080.0,279147.56
CST-9020,WH-DWC-01,2026-02,104653.65999999999,240000.0,109168.5,2660.0,456482.16
CST-9021,WH-DXB-01,2026-03,172879.73999999996,320000.0,123025.0,14385.0,630289.74
CST-9022,WH-AUH-01,2026-03,76081.4,190000.0,123025.0,14350.0,403456.4
CST-9023,WH-SHJ-01,2026-03,58554.5,115000.0,123043.5,14315.0,310913.0
CST-9024,WH-DWC-01,2026-03,117101.87999999999,240000.0,123043.5,14525.0,494670.38
CST-9025,WH-DXB-01,2026-04,166989.16,320000.0,97088.0,0.0,584077.16
CST-9026,WH-AUH-01,2026-04,72789.9,190000.0,97125.0,0.0,359914.9
CST-9027,WH-SHJ-01,2026-04,57158.82,115000.0,234543.0,80045.0,486746.82
CST-9028,WH-DWC-01,2026-04,114731.16,240000.0,97162.0,0.0,451893.16
CST-9029,WH-DXB-01,2026-05,168337.59999999998,320000.0,117549.0,0.0,605886.6
CST-9030,WH-AUH-01,2026-05,74421.12,190000.0,117549.0,0.0,381970.12
CST-9031,WH-SHJ-01,2026-05,54983.85999999999,115000.0,117549.0,0.0,287532.86
CST-9032,WH-DWC-01,2026-05,112610.49999999999,240000.0,117549.0,0.0,470159.5
CST-9033,WH-DXB-01,2026-06,168094.74,320000.0,116827.5,0.0,604922.24
CST-9034,WH-AUH-01,2026-06,74634.99999999999,190000.0,116827.5,0.0,381462.5
CST-9035,WH-SHJ-01,2026-06,55215.88,115000.0,116827.5,0.0,287043.38
CST-9036,WH-DWC-01,2026-06,114158.4,240000.0,116827.5,0.0,470985.9
