appointment_id,warehouse_id,carrier_name,client_id,date,scheduled_time,actual_arrival_time,dwell_time_minutes,status,dock_number
DCK-200001,WH-DXB-01,RedSea Transit,CLT-101,2025-10-01,2025-10-01 07:00:00,2025-10-01 07:18:00,36,Completed,1
DCK-200002,WH-DXB-01,ExpressAir Logistics,CLT-107,2025-10-01,2025-10-01 08:00:00,2025-10-01 08:17:00,22,Completed,2
DCK-200003,WH-DXB-01,RedSea Transit,CLT-108,2025-10-01,2025-10-01 09:00:00,2025-10-01 09:12:00,36,Completed,3
DCK-200004,WH-DXB-01,RedSea Transit,CLT-107,2025-10-01,2025-10-01 10:00:00,2025-10-01 10:34:00,40,Completed,4
DCK-200005,WH-DXB-01,Gulf Overland Express,CLT-106,2025-10-01,2025-10-01 11:00:00,2025-10-01 11:00:00,51,Completed,5
DCK-200006,WH-DXB-01,ExpressAir Logistics,CLT-110,2025-10-01,2025-10-01 12:00:00,2025-10-01 12:00:00,48,Completed,6
DCK-200007,WH-DXB-01,RedSea Transit,CLT-107,2025-10-01,2025-10-01 13:00:00,2025-10-01 13:37:00,32,Completed,7
DCK-200008,WH-DXB-01,Emirates Freight,CLT-110,2025-10-01,2025-10-01 14:00:00,2025-10-01 14:00:00,32,Completed,8
DCK-200009,WH-DXB-01,Falcon Courier,CLT-108,2025-10-01,2025-10-01 15:00:00,2025-10-01 15:20:00,33,Completed,9
DCK-200010,WH-DXB-01,Emirates Freight,CLT-102,2025-10-01,2025-10-01 16:00:00,2025-10-01 16:00:00,39,Completed,10
DCK-200011,WH-DXB-01,Emirates Freight,CLT-103,2025-10-01,2025-10-01 17:00:00,2025-10-01 17:00:00,33,Completed,11
DCK-200012,WH-DXB-01,Falcon Courier,CLT-106,2025-10-01,2025-10-01 18:00:00,2025-10-01 18:03:00,43,Completed,12
DCK-200013,WH-DXB-01,Gulf Overland Express,CLT-108,2025-10-01,2025-10-01 07:00:00,2025-10-01 07:00:00,20,Completed,1
DCK-200014,WH-DXB-01,RedSea Transit,CLT-104,2025-10-01,2025-10-01 08:00:00,2025-10-01 08:10:00,59,Completed,2
DCK-200015,WH-DXB-01,Emirates Freight,CLT-109,2025-10-01,2025-10-01 09:00:00,2025-10-01 09:00:00,48,Completed,3
DCK-200016,WH-DXB-01,RedSea Transit,CLT-102,2025-10-01,2025-10-01 10:00:00,2025-10-01 10:11:00,45,Completed,4
DCK-200017,WH-DXB-01,Gulf Overland Express,CLT-103,2025-10-01,2025-10-01 11:00:00,2025-10-01 11:07:00,41,Completed,5
DCK-200018,WH-AUH-01,Falcon Courier,CLT-102,2025-10-01,2025-10-01 07:00:00,2025-10-01 07:16:00,46,Completed,1
DCK-200019,WH-AUH-01,Emirates Freight,CLT-110,2025-10-01,2025-10-01 08:00:00,2025-10-01 08:08:00,38,Completed,2
DCK-200020,WH-AUH-01,Gulf Overland Express,CLT-102,2025-10-01,2025-10-01 09:00:00,2025-10-01 09:00:00,37,Completed,3
DCK-200021,WH-AUH-01,Falcon Courier,CLT-109,2025-10-01,2025-10-01 10:00:00,2025-10-01 10:00:00,39,Completed,4
DCK-200022,WH-AUH-01,ExpressAir Logistics,CLT-104,2025-10-01,2025-10-01 11:00:00,2025-10-01 11:09:00,25,Completed,5
DCK-200023,WH-AUH-01,Emirates Freight,CLT-109,2025-10-01,2025-10-01 12:00:00,2025-10-01 12:22:00,24,Completed,6
DCK-200024,WH-AUH-01,RedSea Transit,CLT-108,2025-10-01,2025-10-01 13:00:00,2025-10-01 13:00:00,23,Completed,7
DCK-200025,WH-AUH-01,Emirates Freight,CLT-110,2025-10-01,2025-10-01 14:00:00,2025-10-01 14:08:00,18,Completed,8
DCK-200026,WH-AUH-01,ExpressAir Logistics,CLT-101,2025-10-01,2025-10-01 15:00:00,2025-10-01 15:00:00,52,Completed,1
DCK-200027,WH-AUH-01,RedSea Transit,CLT-101,2025-10-01,2025-10-01 16:00:00,2025-10-01 16:00:00,29,Completed,2
DCK-200028,WH-AUH-01,RedSea Transit,CLT-109,2025-10-01,2025-10-01 17:00:00,2025-10-01 17:23:00,21,Completed,3
DCK-200029,WH-AUH-01,RedSea Transit,CLT-105,2025-10-01,2025-10-01 18:00:00,2025-10-01 18:19:00,40,Completed,4
DCK-200030,WH-SHJ-01,RedSea Transit,CLT-104,2025-10-01,2025-10-01 07:00:00,2025-10-01 07:04:00,34,Completed,1
DCK-200031,WH-SHJ-01,Falcon Courier,CLT-104,2025-10-01,2025-10-01 08:00:00,2025-10-01 08:00:00,36,Completed,2
DCK-200032,WH-SHJ-01,Emirates Freight,CLT-106,2025-10-01,2025-10-01 09:00:00,2025-10-01 09:00:00,36,Completed,3
DCK-200033,WH-SHJ-01,RedSea Transit,CLT-110,2025-10-01,2025-10-01 10:00:00,2025-10-01 10:00:00,31,Completed,4
DCK-200034,WH-SHJ-01,Emirates Freight,CLT-102,2025-10-01,2025-10-01 11:00:00,2025-10-01 11:12:00,22,Completed,1
DCK-200035,WH-SHJ-01,Emirates Freight,CLT-102,2025-10-01,2025-10-01 12:00:00,2025-10-01 12:00:00,38,Completed,2
DCK-200036,WH-SHJ-01,Falcon Courier,CLT-104,2025-10-01,2025-10-01 13:00:00,2025-10-01 13:14:00,27,Completed,3
DCK-200037,WH-DWC-01,Gulf Overland Express,CLT-105,2025-10-01,2025-10-01 07:00:00,2025-10-01 07:00:00,37,Completed,1
DCK-200038,WH-DWC-01,Falcon Courier,CLT-106,2025-10-01,2025-10-01 08:00:00,2025-10-01 08:00:00,41,Completed,2
DCK-200039,WH-DWC-01,Gulf Overland Express,CLT-110,2025-10-01,2025-10-01 09:00:00,2025-10-01 09:07:00,36,Completed,3
DCK-200040,WH-DWC-01,ExpressAir Logistics,CLT-108,2025-10-01,2025-10-01 10:00:00,2025-10-01 10:07:00,39,Completed,4
DCK-200041,WH-DWC-01,Falcon Courier,CLT-105,2025-10-01,2025-10-01 11:00:00,2025-10-01 11:19:00,20,Completed,5
DCK-200042,WH-DWC-01,Gulf Overland Express,CLT-102,2025-10-01,2025-10-01 12:00:00,2025-10-01 12:18:00,22,Completed,6
DCK-200043,WH-DWC-01,ExpressAir Logistics,CLT-109,2025-10-01,2025-10-01 13:00:00,2025-10-01 13:00:00,32,Completed,7
DCK-200044,WH-DWC-01,Emirates Freight,CLT-104,2025-10-01,2025-10-01 14:00:00,2025-10-01 14:15:00,44,Completed,8
DCK-200045,WH-DWC-01,RedSea Transit,CLT-106,2025-10-01,2025-10-01 15:00:00,2025-10-01 15:02:00,42,Completed,9
DCK-200046,WH-DWC-01,Falcon Courier,CLT-109,2025-10-01,2025-10-01 16:00:00,2025-10-01 16:00:00,41,Completed,10
DCK-200047,WH-DWC-01,ExpressAir Logistics,CLT-108,2025-10-01,2025-10-01 17:00:00,2025-10-01 17:00:00,42,Completed,1
DCK-200048,WH-DWC-01,Falcon Courier,CLT-101,2025-10-01,2025-10-01 18:00:00,2025-10-01 18:00:00,24,Completed,2
DCK-200049,WH-DWC-01,Falcon Courier,CLT-103,2025-10-01,2025-10-01 07:00:00,2025-10-01 07:00:00,27,Completed,3
DCK-200050,WH-DWC-01,ExpressAir Logistics,CLT-101,2025-10-01,2025-10-01 08:00:00,2025-10-01 08:04:00,32,Completed,4
DCK-200051,WH-DWC-01,Emirates Freight,CLT-103,2025-10-01,2025-10-01 09:00:00,2025-10-01 09:00:00,38,Completed,5
DCK-200052,WH-DWC-01,Gulf Overland Express,CLT-109,2025-10-01,2025-10-01 10:00:00,2025-10-01 10:00:00,42,Completed,6
DCK-200053,WH-DWC-01,Gulf Overland Express,CLT-106,2025-10-01,2025-10-01 11:00:00,2025-10-01 11:07:00,21,Completed,7
DCK-200054,WH-DWC-01,RedSea Transit,CLT-107,2025-10-01,2025-10-01 12:00:00,2025-10-01 12:17:00,39,Completed,8
DCK-200055,WH-DWC-01,Emirates Freight,CLT-105,2025-10-01,2025-10-01 13:00:00,2025-10-01 13:09:00,41,Completed,9
DCK-200056,WH-DXB-01,RedSea Transit,CLT-105,2025-10-02,2025-10-02 07:00:00,2025-10-02 07:10:00,33,Completed,1
DCK-200057,WH-DXB-01,Emirates Freight,CLT-103,2025-10-02,2025-10-02 08:00:00,2025-10-02 08:10:00,42,Completed,2
DCK-200058,WH-DXB-01,RedSea Transit,CLT-107,2025-10-02,2025-10-02 09:00:00,2025-10-02 09:09:00,39,Completed,3
DCK-200059,WH-DXB-01,Emirates Freight,CLT-103,2025-10-02,2025-10-02 10:00:00,2025-10-02 10:00:00,33,Completed,4
DCK-200060,WH-DXB-01,RedSea Transit,CLT-105,2025-10-02,2025-10-02 11:00:00,2025-10-02 11:00:00,30,Completed,5
DCK-200061,WH-DXB-01,RedSea Transit,CLT-101,2025-10-02,2025-10-02 12:00:00,2025-10-02 12:00:00,28,Completed,6
DCK-200062,WH-DXB-01,ExpressAir Logistics,CLT-107,2025-10-02,2025-10-02 13:00:00,2025-10-02 13:12:00,40,Completed,7
DCK-200063,WH-DXB-01,Falcon Courier,CLT-110,2025-10-02,2025-10-02 14:00:00,2025-10-02 14:00:00,20,Completed,8
DCK-200064,WH-DXB-01,RedSea Transit,CLT-104,2025-10-02,2025-10-02 15:00:00,2025-10-02 15:26:00,29,Completed,9
DCK-200065,WH-DXB-01,Emirates Freight,CLT-102,2025-10-02,2025-10-02 16:00:00,2025-10-02 16:17:00,36,Completed,10
DCK-200066,WH-DXB-01,Falcon Courier,CLT-101,2025-10-02,2025-10-02 17:00:00,2025-10-02 17:05:00,40,Completed,11
DCK-200067,WH-DXB-01,RedSea Transit,CLT-107,2025-10-02,2025-10-02 18:00:00,2025-10-02 18:06:00,31,Completed,12
DCK-200068,WH-DXB-01,ExpressAir Logistics,CLT-104,2025-10-02,2025-10-02 07:00:00,2025-10-02 07:20:00,28,Completed,1
DCK-200069,WH-DXB-01,ExpressAir Logistics,CLT-101,2025-10-02,2025-10-02 08:00:00,2025-10-02 08:19:00,31,Completed,2
DCK-200070,WH-DXB-01,RedSea Transit,CLT-104,2025-10-02,2025-10-02 09:00:00,2025-10-02 09:44:00,30,Completed,3
DCK-200071,WH-DXB-01,Gulf Overland Express,CLT-108,2025-10-02,2025-10-02 10:00:00,2025-10-02 10:02:00,16,Completed,4
DCK-200072,WH-DXB-01,ExpressAir Logistics,CLT-110,2025-10-02,2025-10-02 11:00:00,2025-10-02 11:00:00,44,Completed,5
DCK-200073,WH-DXB-01,ExpressAir Logistics,CLT-106,2025-10-02,2025-10-02 12:00:00,2025-10-02 12:13:00,50,Completed,6
DCK-200074,WH-DXB-01,ExpressAir Logistics,CLT-106,2025-10-02,2025-10-02 13:00:00,2025-10-02 13:05:00,42,Completed,7
DCK-200075,WH-DXB-01,Falcon Courier,CLT-105,2025-10-02,2025-10-02 14:00:00,2025-10-02 14:00:00,38,Completed,8
DCK-200076,WH-DXB-01,Emirates Freight,CLT-107,2025-10-02,2025-10-02 15:00:00,2025-10-02 15:00:00,32,Completed,9
DCK-200077,WH-AUH-01,Gulf Overland Express,CLT-109,2025-10-02,2025-10-02 07:00:00,2025-10-02 07:09:00,42,Completed,1
DCK-200078,WH-AUH-01,Falcon Courier,CLT-103,2025-10-02,2025-10-02 08:00:00,2025-10-02 08:02:00,45,Completed,2
DCK-200079,WH-AUH-01,RedSea Transit,CLT-108,2025-10-02,2025-10-02 09:00:00,2025-10-02 09:00:00,32,Completed,3
DCK-200080,WH-AUH-01,Emirates Freight,CLT-108,2025-10-02,2025-10-02 10:00:00,2025-10-02 10:05:00,38,Completed,4
DCK-200081,WH-AUH-01,ExpressAir Logistics,CLT-104,2025-10-02,2025-10-02 11:00:00,2025-10-02 11:00:00,39,Completed,5
DCK-200082,WH-AUH-01,RedSea Transit,CLT-106,2025-10-02,2025-10-02 12:00:00,2025-10-02 12:00:00,36,Completed,6
