inventory_id,sku_id,warehouse_id,quantity_on_hand,quantity_reserved,reorder_point,last_cycle_count_date,recorded_count,physical_count
INV-5001,SKU-1001,WH-AUH-01,1355,258,271,2026-01-15,1355,1355
INV-5002,SKU-1001,WH-SHJ-01,863,199,172,2026-01-15,863,863
INV-5003,SKU-1002,WH-AUH-01,188,25,37,2026-01-15,188,188
INV-5004,SKU-1002,WH-SHJ-01,322,16,64,2026-01-15,322,322
INV-5005,SKU-1003,WH-AUH-01,1393,228,278,2026-01-15,1393,1393
INV-5006,SKU-1003,WH-SHJ-01,1833,135,366,2026-01-15,1833,1833
INV-5007,SKU-1004,WH-AUH-01,978,209,195,2026-01-15,978,978
INV-5008,SKU-1004,WH-SHJ-01,2108,419,421,2026-01-15,2108,2108
INV-5009,SKU-1005,WH-AUH-01,2146,209,429,2026-01-15,2146,2146
INV-5010,SKU-1005,WH-SHJ-01,654,81,130,2026-01-15,654,654
INV-5011,SKU-1006,WH-AUH-01,973,151,194,2026-01-15,973,973
INV-5012,SKU-1006,WH-SHJ-01,1290,313,258,2026-01-15,1290,1290
INV-5013,SKU-1007,WH-AUH-01,834,203,166,2026-01-15,834,834
INV-5014,SKU-1007,WH-SHJ-01,2002,229,400,2026-01-15,2002,2002
INV-5015,SKU-1008,WH-AUH-01,229,35,45,2026-01-15,229,229
INV-5016,SKU-1008,WH-SHJ-01,352,82,70,2026-01-15,352,352
INV-5017,SKU-1009,WH-AUH-01,1849,297,369,2026-01-15,1849,1849
INV-5018,SKU-1009,WH-SHJ-01,1705,110,341,2026-01-15,1705,1705
INV-5019,SKU-1010,WH-AUH-01,2244,394,448,2026-01-15,2244,2244
INV-5020,SKU-1010,WH-SHJ-01,1699,185,339,2026-01-15,1699,1699
INV-5021,SKU-1011,WH-AUH-01,1546,292,309,2026-01-15,1546,1546
INV-5022,SKU-1011,WH-SHJ-01,620,36,124,2026-01-15,620,620
INV-5023,SKU-1012,WH-AUH-01,1185,286,237,2026-01-15,1185,1185
INV-5024,SKU-1012,WH-SHJ-01,1117,143,223,2026-01-15,1117,1117
INV-5025,SKU-1013,WH-AUH-01,817,95,163,2026-01-15,817,817
INV-5026,SKU-1013,WH-SHJ-01,1295,113,259,2026-01-15,1295,1295
INV-5027,SKU-1014,WH-AUH-01,239,30,47,2026-01-15,239,239
INV-5028,SKU-1014,WH-SHJ-01,689,45,137,2026-01-15,689,689
INV-5029,SKU-1015,WH-AUH-01,190,19,38,2026-01-15,190,190
INV-5030,SKU-1015,WH-SHJ-01,2096,397,419,2026-01-15,2096,2096
INV-5031,SKU-1016,WH-AUH-01,1374,153,274,2026-01-15,1374,1374
INV-5032,SKU-1016,WH-SHJ-01,1074,82,214,2026-01-15,1074,1074
INV-5033,SKU-1017,WH-AUH-01,539,129,107,2026-01-15,539,539
INV-5034,SKU-1017,WH-SHJ-01,405,67,81,2026-01-15,405,405
INV-5035,SKU-1018,WH-AUH-01,2094,279,418,2026-01-15,2094,2094
INV-5036,SKU-1018,WH-SHJ-01,947,211,189,2026-01-15,947,947
INV-5037,SKU-1019,WH-AUH-01,1026,85,205,2026-01-15,1026,1026
INV-5038,SKU-1019,WH-SHJ-01,1165,145,233,2026-01-15,1165,1165
INV-5039,SKU-1020,WH-AUH-01,2343,579,468,2026-01-15,2343,2343
INV-5040,SKU-1020,WH-SHJ-01,2374,297,474,2026-01-15,2374,2374
INV-5041,SKU-1021,WH-AUH-01,212,27,42,2026-01-15,212,212
INV-5042,SKU-1021,WH-SHJ-01,838,182,167,2026-01-15,838,838
INV-5043,SKU-1022,WH-AUH-01,1783,102,356,2026-01-15,1783,1783
INV-5044,SKU-1022,WH-SHJ-01,660,69,132,2026-01-15,660,660
INV-5045,SKU-1023,WH-AUH-01,667,125,133,2026-01-15,667,667
INV-5046,SKU-1023,WH-SHJ-01,1818,453,363,2026-01-15,1818,1818
INV-5047,SKU-1024,WH-AUH-01,1610,268,322,2026-01-15,1610,1610
INV-5048,SKU-1024,WH-SHJ-01,863,189,172,2026-01-15,863,863
INV-5049,SKU-1025,WH-AUH-01,1318,129,263,2026-01-15,1318,1318
INV-5050,SKU-1025,WH-SHJ-01,2051,205,410,2026-01-15,2051,2051
INV-5051,SKU-1026,WH-AUH-01,834,142,166,2026-01-15,834,834
INV-5052,SKU-1026,WH-SHJ-01,1619,365,323,2026-01-15,1619,1619
INV-5053,SKU-1027,WH-AUH-01,637,110,127,2026-01-15,637,637
INV-5054,SKU-1027,WH-SHJ-01,2292,166,458,2026-01-15,2292,2292
INV-5055,SKU-1028,WH-AUH-01,2351,351,470,2026-01-15,2351,2351
INV-5056,SKU-1028,WH-SHJ-01,587,120,117,2026-01-15,587,587
INV-5057,SKU-1029,WH-AUH-01,417,88,83,2026-01-15,417,417
INV-5058,SKU-1029,WH-SHJ-01,385,62,77,2026-01-15,385,385
INV-5059,SKU-1030,WH-AUH-01,912,119,182,2026-01-15,912,912
INV-5060,SKU-1030,WH-SHJ-01,773,112,154,2026-01-15,773,773
INV-5061,SKU-1031,WH-AUH-01,1402,244,280,2026-01-15,1402,1402
INV-5062,SKU-1031,WH-SHJ-01,727,153,145,2026-01-15,727,727
INV-5063,SKU-1032,WH-AUH-01,2300,177,460,2026-01-15,2300,2300
INV-5064,SKU-1032,WH-SHJ-01,913,224,182,2026-01-15,913,913
INV-5065,SKU-1033,WH-AUH-01,1479,248,295,2026-01-15,1479,1479
INV-5066,SKU-1033,WH-SHJ-01,1508,207,301,2026-01-15,1508,1508
INV-5067,SKU-1034,WH-AUH-01,596,116,119,2026-01-15,596,596
INV-5068,SKU-1034,WH-SHJ-01,398,60,79,2026-01-15,398,398
INV-5069,SKU-1035,WH-AUH-01,1508,194,301,2026-01-15,1508,1508
INV-5070,SKU-1035,WH-SHJ-01,908,140,181,2026-01-15,908,908
INV-5071,SKU-1036,WH-AUH-01,2278,546,455,2026-01-15,2278,2278
INV-5072,SKU-1036,WH-SHJ-01,287,67,57,2026-01-15,287,287
INV-5073,SKU-1037,WH-AUH-01,1503,306,300,2026-01-15,1503,1503
INV-5074,SKU-1037,WH-SHJ-01,2025,287,405,2026-01-15,2025,2025
INV-5075,SKU-1038,WH-AUH-01,2250,268,450,2026-01-15,2250,2250
INV-5076,SKU-1038,WH-SHJ-01,2323,410,464,2026-01-15,2323,2323
INV-5077,SKU-1039,WH-AUH-01,2056,323,411,2026-01-15,2056,2056
INV-5078,SKU-1039,WH-SHJ-01,2292,298,458,2026-01-15,2292,2292
INV-5079,SKU-1040,WH-AUH-01,2085,371,417,2026-01-15,2085,2085
INV-5080,SKU-1040,WH-SHJ-01,509,96,101,2026-01-15,509,509
INV-5081,SKU-1041,WH-DXB-01,430,98,86,2026-01-15,430,430
INV-5082,SKU-1041,WH-AUH-01,816,149,163,2026-01-15,816,816
INV-5083,SKU-1042,WH-DXB-01,2119,361,423,2026-01-15,2119,2119
INV-5084,SKU-1042,WH-AUH-01,1178,140,235,2026-01-15,1178,1178
INV-5085,SKU-1043,WH-DXB-01,831,70,166,2026-01-15,831,831
INV-5086,SKU-1043,WH-AUH-01,1578,252,315,2026-01-15,1578,1578
INV-5087,SKU-1044,WH-DXB-01,2430,294,486,2026-01-15,2430,2430
INV-5088,SKU-1044,WH-AUH-01,2118,319,423,2026-01-15,2118,2118
INV-5089,SKU-1045,WH-DXB-01,1986,227,397,2026-01-15,1986,1986
INV-5090,SKU-1045,WH-AUH-01,2446,357,489,2026-01-15,2446,2446
INV-5091,SKU-1046,WH-DXB-01,2411,159,482,2026-01-15,2411,2411
INV-5092,SKU-1046,WH-AUH-01,256,59,51,2026-01-15,256,256
INV-5093,SKU-1047,WH-DXB-01,486,51,97,2026-01-15,486,486
INV-5094,SKU-1047,WH-AUH-01,1430,95,286,2026-01-15,1430,1430
INV-5095,SKU-1048,WH-DXB-01,2040,177,408,2026-01-15,2040,2040
INV-5096,SKU-1048,WH-AUH-01,452,56,90,2026-01-15,452,452
INV-5097,SKU-1049,WH-DXB-01,875,85,175,2026-01-15,875,875
INV-5098,SKU-1049,WH-AUH-01,177,21,35,2026-01-15,177,177
INV-5099,SKU-1050,WH-DXB-01,514,32,102,2026-01-15,514,514
