labor_id,warehouse_id,date,shift,headcount_scheduled,headcount_actual,regular_hours,overtime_hours,hourly_rate,labor_cost
LBR-800001,WH-DXB-01,2025-10-01,Morning,18,18,144.0,2.0,14.5,2131.5
LBR-800002,WH-DXB-01,2025-10-01,Evening,18,18,144.0,0.0,14.5,2088.0
LBR-800003,WH-DXB-01,2025-10-01,Night,18,18,144.0,0.0,14.5,2088.0
LBR-800004,WH-AUH-01,2025-10-01,Morning,8,8,64.0,0.0,14.5,928.0
LBR-800005,WH-AUH-01,2025-10-01,Evening,8,8,64.0,0.0,14.5,928.0
LBR-800006,WH-AUH-01,2025-10-01,Night,8,8,64.0,2.0,14.5,971.5
LBR-800007,WH-SHJ-01,2025-10-01,Morning,6,6,48.0,0.0,14.5,696.0
LBR-800008,WH-SHJ-01,2025-10-01,Evening,6,5,40.0,0.0,14.5,580.0
LBR-800009,WH-SHJ-01,2025-10-01,Night,6,6,48.0,1.5,14.5,728.62
LBR-800010,WH-DWC-01,2025-10-01,Morning,12,12,96.0,0.0,14.5,1392.0
LBR-800011,WH-DWC-01,2025-10-01,Evening,12,12,96.0,0.0,14.5,1392.0
LBR-800012,WH-DWC-01,2025-10-01,Night,12,11,88.0,0.0,14.5,1276.0
LBR-800013,WH-DXB-01,2025-10-02,Morning,18,18,144.0,0.0,14.5,2088.0
LBR-800014,WH-DXB-01,2025-10-02,Evening,18,17,136.0,0.0,14.5,1972.0
LBR-800015,WH-DXB-01,2025-10-02,Night,18,18,144.0,1.5,14.5,2120.62
LBR-800016,WH-AUH-01,2025-10-02,Morning,8,9,72.0,2.0,14.5,1087.5
LBR-800017,WH-AUH-01,2025-10-02,Evening,8,9,72.0,0.0,14.5,1044.0
LBR-800018,WH-AUH-01,2025-10-02,Night,8,7,56.0,0.0,14.5,812.0
LBR-800019,WH-SHJ-01,2025-10-02,Morning,6,6,48.0,1.5,14.5,728.62
LBR-800020,WH-SHJ-01,2025-10-02,Evening,6,6,48.0,2.0,14.5,739.5
LBR-800021,WH-SHJ-01,2025-10-02,Night,6,7,56.0,0.0,14.5,812.0
LBR-800022,WH-DWC-01,2025-10-02,Morning,12,12,96.0,0.0,14.5,1392.0
LBR-800023,WH-DWC-01,2025-10-02,Evening,12,13,104.0,0.0,14.5,1508.0
LBR-800024,WH-DWC-01,2025-10-02,Night,12,13,104.0,2.0,14.5,1551.5
LBR-800025,WH-DXB-01,2025-10-03,Morning,10,11,88.0,2.0,14.5,1319.5
LBR-800026,WH-DXB-01,2025-10-03,Evening,10,10,80.0,0.0,14.5,1160.0
LBR-800027,WH-DXB-01,2025-10-03,Night,10,11,88.0,1.5,14.5,1308.62
LBR-800028,WH-AUH-01,2025-10-03,Morning,4,3,24.0,0.0,14.5,348.0
LBR-800029,WH-AUH-01,2025-10-03,Evening,4,5,40.0,2.0,14.5,623.5
LBR-800030,WH-AUH-01,2025-10-03,Night,4,4,32.0,0.0,14.5,464.0
LBR-800031,WH-SHJ-01,2025-10-03,Morning,3,3,24.0,0.0,14.5,348.0
LBR-800032,WH-SHJ-01,2025-10-03,Evening,3,4,32.0,0.0,14.5,464.0
LBR-800033,WH-SHJ-01,2025-10-03,Night,3,4,32.0,0.0,14.5,464.0
LBR-800034,WH-DWC-01,2025-10-03,Morning,7,6,48.0,0.0,14.5,696.0
